Rendszám;Tulaj;Típus;Bal első kerék nyomása;Jobb első kerék nyomása;Bal hátsó kerék nyomása;Jobb hátsó kerék nyomása
WFW-269;MÉSZÁROS MIKÓ;HONDA CIVIC;2.611;2.911;0.791;3.55
MYO-006;JUHÁSZ VILTÉ;BMW X3;2.214;2.621;1.709;1.763
AVL-672;PINTÉR TÁMÁR M.;GM UPLANDER FWD;1.695;2.472;2.415;1.794
AXB-369;BALLA SOMA;GM STS AWD;2.617;2.351;1.933;1.674
BDA-677;MAJOR DOROTINA B.;VOLKSWAGEN A3 QUATTRO;2.703;2.974;2.795;2.128
QBC-884;BÁLINT VALENCIA B.;VOLVO S60 AWD;1.967;2.317;1.661;2.389
PHR-258;VÁRADI URZULINA F.;VOLVO XC 70 AWD;2.967;4.719;0.698;4.361
TVF-427;BIRÓ MINKA;DaimlerChrysler PACIFICA AWD;0.555;0.824;0.776;1.65
UOL-189;ILLÉS FRANCISKA E.;HONDA RL;1.574;1.992;2.559;2.083
MLK-103;KOZMA ZÓLYOM;BMW Z4 3.0 SI COUPE;1.74;1.975;2.02;2.285
BDY-062;PÁSZTOR FILEP W.;BMW 530I;2.209;1.711;1.599;2.305
KLG-827;PÁL FILLISZ;Ford FOCUS  FWD;1.834;2.917;1.878;2.725
NMN-375;ORSÓS MARGARITA;GM RENDEZVOUS FWD;2.364;4.86;3.685;2.801
AUT-735;SÁRKÖZI JOANA L.;MAZDA MX-5;2.068;2.54;2.818;1.81
HVM-436;BOGNÁR CÉZÁR;BMW 330CI CONVERTIBLE;2.953;4.24;1.571;0.565
EDG-334;BODNÁR SZÉPE R.;DaimlerChrysler WRANGLER/TJ 4WD;2.167;2.089;2.668;2.463
CFA-890;MÉSZÁROS BARS R.;KIA RIO;1.618;1.722;2.16;2.389
IOR-386;BOROS FÁRÁ U.;Mitsubishi OUTLANDER 4WD;2.326;2.014;1.798;2.603
UEW-479;LENGYEL MIKIÓ;DaimlerChrysler DAKOTA PICKUP 2WD;2.73;3.227;2.28;2.035
NGI-994;CSONKA REZSŐ H.;GM Daewoo VERONA;2.693;2.66;1.924;2.717
FMF-854;KIRÁLY FÁRÁ P.;GM C1500 YUKON 2WD;2.71;1.936;1.613;2.903
PKJ-654;BOROS GALATEA;JAGUAR S-TYPE 4.2 LITRE;2.743;2.784;2.975;1.898
CET-045;MEZEI TOMAZINA L.;DaimlerChrysler PACIFICA 2WD;1.812;2.541;1.74;1.955
JHM-557;KIRÁLY RIZA T.;MERCEDES BENZ ML500;2.373;2.414;1.877;2.034
QKP-492;TAMÁS FRODÓ H.;MASERATI QUATTROPORTE;1.913;3.553;1.007;4.285
ZCE-354;KIS SUDÁR Z.;DaimlerChrysler CARAVAN 2WD;2.471;2.797;2.26;2.494
FST-191;SIMON ATÁLIA A.;Bugatti VEYRON;2.484;1.886;2.28;2.149
SEU-677;NOVÁK LÍGIA G.;Mitsubishi GALANT;2.669;2.207;2.747;1.785
REW-406;LÁSZLÓ SÁMSON P.;FUJI IMPREZA WGN/OUTBACK SPT AWD;2.085;3.391;0.587;4.688
EYG-709;PATAKI HASSZÁN;Ford EXPLORER 4WD;2.135;3.68;1.096;3.342
TNI-370;NAGY TREVOR;TOYOTA SC 430;2.943;2.1;1.885;2.084
